study_year,region_code,region_name,region_display,standardised_rate_per_100000,standardised_rate_lower_per_100000,standardised_rate_upper_per_100000,standardised_plot_rate_per_100000,standardisation_status
2022,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,821.1060574105682,821.1060574105682,821.1060574105682,821.1060574105682,point_complete_observed
2023,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,967.3420505593858,967.3420505593858,967.3420505593858,967.3420505593858,point_complete_observed
2024,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,965.756545306002,965.756545306002,965.756545306002,965.756545306002,point_complete_observed
2025,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,1160.7348288101084,1160.7348288101084,1160.7348288101084,1160.7348288101084,point_complete_observed
2020,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,,628.313361330378,628.7272896509787,628.5203254906784,interval_due_to_unknown_age
2021,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,761.7120758372173,761.7120758372173,761.7120758372173,761.7120758372173,point_complete_observed
2022,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,925.40778007404106,925.40778007404106,925.40778007404106,925.40778007404106,point_complete_observed
2023,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,1104.5892331506384,1104.5892331506384,1104.5892331506384,1104.5892331506384,point_complete_observed
2024,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,1163.353345354302,1163.353345354302,1163.353345354302,1163.353345354302,point_complete_observed
2025,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,1379.9660513528881,1379.9660513528881,1379.9660513528881,1379.9660513528881,point_complete_observed
