study_year,region_code,region_name,age_code,sex_code,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000,boxes,unknown_age_beneficiaries,unknown_age_boxes,population_start_status,population_end_status,open_medic_source_file,historical_window_amendment_id,amendment_id,analysis_version,standard_population,standard_weight
2021,11,Île-de-France,20,2,observed,16961,16961,16961,3411516,497.1690005264521,497.1690005264521,497.1690005264521,147450,,,definitive,definitive,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2021,11,Île-de-France,60,1,observed,23452,23452,23452,1133653.5,2068.709707154788,2068.709707154788,2068.709707154788,229890,,,definitive,definitive,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2021,11,Île-de-France,60,2,observed,19975,19975,19975,1444429.5,1382.898923069627,1382.898923069627,1382.898923069627,199117,,,definitive,definitive,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2021,24,Centre-Val de Loire,0,1,structural_zero_supported,0,0,0,307340.5,0,0,0,0,,,definitive,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2021,24,Centre-Val de Loire,0,2,structural_zero_supported,0,0,0,290624.5,0,0,0,0,,,definitive,definitive,,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2021,24,Centre-Val de Loire,20,1,observed,3700,3700,3700,601198.5,615.4373305987956,615.4373305987956,615.4373305987956,34419,,,definitive,definitive,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2021,24,Centre-Val de Loire,20,2,observed,3278,3278,3278,611205.5,536.3171633763112,536.3171633763112,536.3171633763112,30416,,,definitive,definitive,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2021,24,Centre-Val de Loire,60,1,observed,7398,7398,7398,342709.5,2158.679581394738,2158.679581394738,2158.679581394738,74712,,,definitive,definitive,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2021,24,Centre-Val de Loire,60,2,observed,5926,5926,5926,424371.5,1396.4179969672798,1396.4179969672798,1396.4179969672798,59624,,,definitive,definitive,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2021,27,Bourgogne-Franche-Comté,0,1,structural_zero_supported,0,0,0,323691,0,0,0,0,,,definitive,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
