study_year,demographic_scope,age_code,age_group,sex_code,sex,beneficiaries,boxes,open_medic_source_file,population_average,population_start_status,population_end_status,beneficiary_rate_per_100000,beneficiary_rate_index_2020,beneficiary_rate_percentage_change,beneficiary_measure_status,amendment_id,analysis_version,denominator_source_file
2023,age_sex,20,20-59 years,2,Female,130158,1182764,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe.CSV.gz,17085456,definitive,provisional,761.8058306433261,179.31308241270744,21.502834335384,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2024,age_sex,20,20-59 years,2,Female,135371,1180176,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe.CSV.gz,17087264,provisional,provisional,792.2333265290453,186.47507547957696,3.994127461590047,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2025,age_sex,20,20-59 years,2,Female,166677,1431704,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe.CSV.gz,17098130,provisional,early,974.8259020138458,229.45353038088086,23.04782812972288,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2020,age_sex,60,60 years or older,1,Male,140597,1513065,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe.CSV.gz,7954376,not_specified,definitive,1767.542796568832,100,,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2021,age_sex,60,60 years or older,1,Male,176984,1841628,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe.CSV.gz,8083496.5,definitive,definitive,2189.448588243961,123.86962242125823,23.869622421258228,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2022,age_sex,60,60 years or older,1,Male,219895,2288248,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe.CSV.gz,8235723,definitive,definitive,2670.01452088663,151.0579843424263,21.949176391856074,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2023,age_sex,60,60 years or older,1,Male,265333,2763737,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe.CSV.gz,8402177,definitive,provisional,3157.9077660468233,178.6608942186282,18.27305587080399,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2024,age_sex,60,60 years or older,1,Male,277278,2803595,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe.CSV.gz,8569748,provisional,provisional,3235.5443824019094,183.05324140851206,2.4584827077541282,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2025,age_sex,60,60 years or older,1,Male,325016,3267131,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe.CSV.gz,8738069,provisional,early,3719.540324069311,210.43565854754473,14.958717435614544,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2020,age_sex,60,60 years or older,2,Female,117778,1277374,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe.CSV.gz,10036259,not_specified,definitive,1173.52491600705,100,,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2021,age_sex,60,60 years or older,2,Female,145843,1523298,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe.CSV.gz,10167911,definitive,definitive,1434.3457569603038,122.22541996302078,22.225419963020787,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2022,age_sex,60,60 years or older,2,Female,179036,1865254,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe.CSV.gz,10312615,definitive,definitive,1736.0873066627619,147.9378309725068,21.036876794749638,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2023,age_sex,60,60 years or older,2,Female,215099,2225655,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe.CSV.gz,10470399,definitive,provisional,2054.3534205334486,175.05835560129742,18.33237952084805,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2024,age_sex,60,60 years or older,2,Female,224374,2224652,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe.CSV.gz,10629245.5,provisional,provisional,2110.911823421521,179.8778870928412,2.753099944866655,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
