study_year,region_code,region_name,beneficiaries,boxes,reimbursement_base_eur,reimbursed_expenditure_eur,open_medic_source_file,population_average,denominator_strata,beneficiary_rate_per_100000,boxes_per_100000,beneficiaries_absolute_change,beneficiaries_percentage_change,beneficiary_rate_absolute_change,beneficiary_rate_percentage_change,boxes_percentage_change,beneficiary_measure_status,additive_measure_status,historical_window_amendment_id,amendment_id,analysis_version,denominator_source_file
2022,75,Nouvelle-Aquitaine,55283,569994,46208856.05,45453770.32,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,6131917.5,6,901.561379454306,9295.526236287425,9818,21.59463323435611,155.17731597299928,20.790545185171382,21.04533301620537,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2022,76,Occitanie,52734,523090,42346734.52,41326817.11,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,6102692,6,864.110461416044,8571.463216560822,9361,21.58255135683489,147.37356506544006,20.56173831929391,21.110038364207618,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2022,84,Auvergne-Rhône-Alpes,64874,654201,53062631.05,52001376.5,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,8184720.5,6,792.6232789500876,7992.954676949566,11218,20.90726107052334,133.3875935306828,20.23367309763,20.641860928288104,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2022,93,Provence-Alpes-Côte d'Azur and Corse,53553,517869,41803646.49,40522739.89,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,5548017,6,965.2638050676485,9334.308096027824,10140,23.35705894547717,175.72299744013094,22.256354040541492,25.146564848602004,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2023,11,Île-de-France,119000,1099227,87678449.5,82780300.07,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,12485304.5,6,953.1205266159108,8804.166530339728,21601,22.177845768437045,169.03681652876753,21.558516565786157,21.459936442831705,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2023,24,Centre-Val de Loire,31124,308078,24615487.91,24098257.02,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,2587518.5,6,1202.8513032853677,11906.311008017914,5492,21.426342072409497,211.02136311555853,21.275962195639096,21.895710594724193,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2023,27,Bourgogne-Franche-Comté,37330,379277,30428336.38,29727282.91,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,2801425,6,1332.5361200103519,13538.71690300472,6069,19.41396628386809,217.39546642541973,19.494892032367495,19.139492440638683,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2023,28,Normandie,37185,380806,30462919.77,29893890.36,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,3347401,6,1110.8618298196122,11376.169153322235,5582,17.662880106319022,165.3600464015409,17.489131094364517,18.590144840880573,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2023,32,Hauts-de-France,86239,895669,71703034.51,69972339.39,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,5988017,6,1440.1929720640405,14957.689665877702,13468,18.50737244231906,226.44378620885277,18.6565551472897,18.866081583414186,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2023,44,Grand Est,73672,746698,59738777.44,58275715.14,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,5560417.5,6,1324.9364818379195,13428.81177537478,12485,20.40466112082633,224.792884393348,20.433049368782406,20.141589503069124,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
